provider,p_error,date,s_error,p_predicted,catalogued,p_detected,event_id,long,s_detected,s_confidence,plot_path,unique_id,depth,network,s_predicted,lat,p_confidence,time,mag_type,epi_distance,detected,code,mag
Detection,,2024-08-26,,,False,2024-08-26T01:11:37.690000,,,,,,2024-08-26_57,,AM,,,0.11453162878751755,2024-08-26T01:11:37.690000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:13:19.140000,,,,,,2024-08-26_58,,AM,,,0.1814209222793579,2024-08-26T01:13:19.140000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:14:18.950000,,,,,,2024-08-26_59,,AM,,,0.7497366070747375,2024-08-26T01:14:18.950000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:14:35.030000,,,,,,2024-08-26_60,,AM,,,0.12007138878107071,2024-08-26T01:14:35.030000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:21:48.800000,,,,,,2024-08-26_61,,AM,,,0.11160346865653992,2024-08-26T01:21:48.800000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:26:05.010000,,,,,,2024-08-26_62,,AM,,,0.17606329917907715,2024-08-26T01:26:05.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:26:49.160000,,,,,,2024-08-26_63,,AM,,,0.12386297434568405,2024-08-26T01:26:49.160000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:27:58.740000,,,,,,2024-08-26_64,,AM,,,0.5491539835929871,2024-08-26T01:27:58.740000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:29:27,,,,,,2024-08-26_65,,AM,,,0.8018791079521179,2024-08-26T01:29:27,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:30:03.950000,,,,,,2024-08-26_66,,AM,,,0.39807820320129395,2024-08-26T01:30:03.950000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:30:04.960000,,,,,,2024-08-26_67,,AM,,,0.2747099697589874,2024-08-26T01:30:04.960000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:31:04.920000,,,,,,2024-08-26_68,,AM,,,0.14176532626152039,2024-08-26T01:31:04.920000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:32:19.050000,,,,,,2024-08-26_69,,AM,,,0.5776209831237793,2024-08-26T01:32:19.050000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:34:48.660000,,,,,,2024-08-26_70,,AM,,,0.11576972901821136,2024-08-26T01:34:48.660000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:35:37.060000,,,,,,2024-08-26_71,,AM,,,0.5398861169815063,2024-08-26T01:35:37.060000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:36:14.270000,,,,,,2024-08-26_72,,AM,,,0.6640560030937195,2024-08-26T01:36:14.270000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T01:36:19.360000,,,,,,2024-08-26_73,,AM,,,0.21517783403396606,2024-08-26T01:36:19.360000,,,True,R1F0E,
