depth,plot_path,s_detected,provider,network,p_detected,epi_distance,code,s_confidence,date,time,s_predicted,catalogued,mag_type,s_error,mag,detected,lat,event_id,p_predicted,p_confidence,long,unique_id,p_error
,,,Detection,AM,2024-08-26T00:54:00.950000,,RBE3F,,2024-08-26,2024-08-26T00:54:00.950000,,False,,,,True,,,,0.10934015363454819,,2024-08-26_75,
,,,Detection,AM,2024-08-26T00:54:05,,RBE3F,,2024-08-26,2024-08-26T00:54:05,,False,,,,True,,,,0.10152505338191986,,2024-08-26_76,
,,,Detection,AM,2024-08-26T00:54:16.190000,,RBE3F,,2024-08-26,2024-08-26T00:54:16.190000,,False,,,,True,,,,0.16840116679668427,,2024-08-26_77,
,,,Detection,AM,2024-08-26T00:55:03.060000,,RBE3F,,2024-08-26,2024-08-26T00:55:03.060000,,False,,,,True,,,,0.41435545682907104,,2024-08-26_78,
,,,Detection,AM,2024-08-26T00:56:40.690000,,RBE3F,,2024-08-26,2024-08-26T00:56:40.690000,,False,,,,True,,,,0.8558598756790161,,2024-08-26_79,
,,,Detection,AM,,,RBE3F,,2024-08-26,2024-08-26T00:56:41.220000,,False,,,,True,,,,,,2024-08-26_80,
,,,Detection,AM,2024-08-26T00:57:02.670000,,RBE3F,,2024-08-26,2024-08-26T00:57:02.670000,,False,,,,True,,,,0.5751619935035706,,2024-08-26_81,
,,,Detection,AM,2024-08-26T01:00:12.430000,,RBE3F,,2024-08-26,2024-08-26T01:00:12.430000,,False,,,,True,,,,0.13381995260715485,,2024-08-26_82,
,,,Detection,AM,2024-08-26T01:02:26.950000,,RBE3F,,2024-08-26,2024-08-26T01:02:26.950000,,False,,,,True,,,,0.9047330617904663,,2024-08-26_83,
,,,Detection,AM,,,RBE3F,,2024-08-26,2024-08-26T01:02:27.600000,,False,,,,True,,,,,,2024-08-26_84,
,,,Detection,AM,2024-08-26T01:03:09.990000,,RBE3F,,2024-08-26,2024-08-26T01:03:09.990000,,False,,,,True,,,,0.8691210150718689,,2024-08-26_85,
,,,Detection,AM,2024-08-26T01:03:47.310000,,RBE3F,,2024-08-26,2024-08-26T01:03:47.310000,,False,,,,True,,,,0.5175774693489075,,2024-08-26_86,
,,,Detection,AM,2024-08-26T01:06:22.110000,,RBE3F,,2024-08-26,2024-08-26T01:06:22.110000,,False,,,,True,,,,0.48818063735961914,,2024-08-26_87,
,,,Detection,AM,2024-08-26T01:06:58.070000,,RBE3F,,2024-08-26,2024-08-26T01:06:58.070000,,False,,,,True,,,,0.1624932736158371,,2024-08-26_88,
,,,Detection,AM,2024-08-26T01:07:25.090000,,RBE3F,,2024-08-26,2024-08-26T01:07:25.090000,,False,,,,True,,,,0.5672798156738281,,2024-08-26_89,
,,,Detection,AM,2024-08-26T01:08:40.980000,,RBE3F,,2024-08-26,2024-08-26T01:08:40.980000,,False,,,,True,,,,0.4545404613018036,,2024-08-26_90,
,,,Detection,AM,2024-08-26T01:09:20.520000,,RBE3F,,2024-08-26,2024-08-26T01:09:20.520000,,False,,,,True,,,,0.13248048722743988,,2024-08-26_91,
,,,Detection,AM,2024-08-26T01:10:07.010000,,RBE3F,,2024-08-26,2024-08-26T01:10:07.010000,,False,,,,True,,,,0.310870498418808,,2024-08-26_92,
