network,provider,long,plot_path,p_error,s_detected,detected,s_predicted,catalogued,event_id,depth,date,mag,p_predicted,epi_distance,unique_id,p_detected,code,time,s_error,mag_type,lat,p_confidence,s_confidence
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_64,2024-08-23T04:23:07.980000,R50D6,2024-08-23T04:23:07.980000,,,,0.4944280087947845,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_65,2024-08-23T04:23:08.990000,R50D6,2024-08-23T04:23:08.990000,,,,0.2195190042257309,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_66,2024-08-23T04:24:52.060000,R50D6,2024-08-23T04:24:52.060000,,,,0.4952103495597839,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_67,2024-08-23T04:25:21.080000,R50D6,2024-08-23T04:25:21.080000,,,,0.7087300419807434,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_68,2024-08-23T04:28:21.960000,R50D6,2024-08-23T04:28:21.960000,,,,0.4522690176963806,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_69,2024-08-23T04:35:39.020000,R50D6,2024-08-23T04:35:39.020000,,,,0.732419490814209,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_70,2024-08-23T04:37:53.040000,R50D6,2024-08-23T04:37:53.040000,,,,0.5152786374092102,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_71,2024-08-23T04:38:11.090000,R50D6,2024-08-23T04:38:11.090000,,,,0.4000152349472046,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_72,2024-08-23T04:40:08.120000,R50D6,2024-08-23T04:40:08.120000,,,,0.7547982931137085,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_73,2024-08-23T04:40:38,R50D6,2024-08-23T04:40:38,,,,0.3040375113487243,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_74,2024-08-23T04:40:43.460000,R50D6,2024-08-23T04:40:43.460000,,,,0.4148608744144439,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_75,2024-08-23T04:46:06.980000,R50D6,2024-08-23T04:46:06.980000,,,,0.4495609700679779,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_76,2024-08-23T04:46:35,R50D6,2024-08-23T04:46:35,,,,0.2538714408874511,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_77,2024-08-23T04:57:05.030000,R50D6,2024-08-23T04:57:05.030000,,,,0.5560817122459412,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_78,2024-08-23T04:58:40.010000,R50D6,2024-08-23T04:58:40.010000,,,,0.8887987732887268,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_79,2024-08-23T05:00:37.020000,R50D6,2024-08-23T05:00:37.020000,,,,0.6365383267402649,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_80,2024-08-23T05:05:21.060000,R50D6,2024-08-23T05:05:21.060000,,,,0.5471760034561157,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_81,2024-08-23T05:10:36.990000,R50D6,2024-08-23T05:10:36.990000,,,,0.5975321531295776,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_82,2024-08-23T05:13:06.880000,R50D6,2024-08-23T05:13:06.880000,,,,0.4368100166320801,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_83,2024-08-23T05:13:20.790000,R50D6,2024-08-23T05:13:20.790000,,,,0.6004816889762878,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_84,2024-08-23T05:13:49.600000,R50D6,2024-08-23T05:13:49.600000,,,,0.4326925575733185,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_85,2024-08-23T05:16:05.010000,R50D6,2024-08-23T05:16:05.010000,,,,0.7988004684448242,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_86,2024-08-23T05:20:52.900000,R50D6,2024-08-23T05:20:52.900000,,,,0.2063779383897781,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_87,2024-08-23T05:21:29.930000,R50D6,2024-08-23T05:21:29.930000,,,,0.6184221506118774,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_88,2024-08-23T05:27:16.010000,R50D6,2024-08-23T05:27:16.010000,,,,0.2650030255317688,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_89,2024-08-23T05:28:54.990000,R50D6,2024-08-23T05:28:54.990000,,,,0.6015134453773499,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_90,2024-08-23T05:28:55.470000,R50D6,2024-08-23T05:28:55.470000,,,,0.4883177876472473,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_91,2024-08-23T05:33:08.980000,R50D6,2024-08-23T05:33:08.980000,,,,0.4207245409488678,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_92,2024-08-23T05:33:09.960000,R50D6,2024-08-23T05:33:09.960000,,,,0.4574576020240783,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_93,2024-08-23T05:37:05.030000,R50D6,2024-08-23T05:37:05.030000,,,,0.3698779642581939,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_94,2024-08-23T05:38:45.890000,R50D6,2024-08-23T05:38:45.890000,,,,0.2269347310066223,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_95,2024-08-23T05:39:08.850000,R50D6,2024-08-23T05:39:08.850000,,,,0.259004145860672,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_96,2024-08-23T05:39:54.020000,R50D6,2024-08-23T05:39:54.020000,,,,0.4672495126724243,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_97,2024-08-23T05:40:52.510000,R50D6,2024-08-23T05:40:52.510000,,,,0.4262879192829132,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_98,2024-08-23T05:42:21.890000,R50D6,2024-08-23T05:42:21.890000,,,,0.5336184501647949,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_99,2024-08-23T05:44:38.010000,R50D6,2024-08-23T05:44:38.010000,,,,0.7905741333961487,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_100,2024-08-23T05:45:19.730000,R50D6,2024-08-23T05:45:19.730000,,,,0.5410248041152954,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_101,,R50D6,2024-08-23T05:45:20.530000,,,,,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_102,2024-08-23T05:48:32.170000,R50D6,2024-08-23T05:48:32.170000,,,,0.4581848680973053,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_103,,R50D6,2024-08-23T05:48:32.520000,,,,,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_104,2024-08-23T05:48:54.160000,R50D6,2024-08-23T05:48:54.160000,,,,0.6738490462303162,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_105,,R50D6,2024-08-23T05:48:54.420000,,,,,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_106,2024-08-23T05:50:22.110000,R50D6,2024-08-23T05:50:22.110000,,,,0.416629821062088,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_107,2024-08-23T05:52:26.240000,R50D6,2024-08-23T05:52:26.240000,,,,0.8249998092651367,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_108,2024-08-23T05:52:56.970000,R50D6,2024-08-23T05:52:56.970000,,,,0.8334150910377502,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_109,2024-08-23T05:54:10.830000,R50D6,2024-08-23T05:54:10.830000,,,,0.6210201382637024,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_110,2024-08-23T05:55:30.690000,R50D6,2024-08-23T05:55:30.690000,,,,0.5458056926727295,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_111,2024-08-23T05:55:53.990000,R50D6,2024-08-23T05:55:53.990000,,,,0.2110475450754165,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_112,2024-08-23T05:58:03.880000,R50D6,2024-08-23T05:58:03.880000,,,,0.4615821838378906,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_113,2024-08-23T05:59:11.980000,R50D6,2024-08-23T05:59:11.980000,,,,0.6869409680366516,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_114,2024-08-23T06:02:13.150000,R50D6,2024-08-23T06:02:13.150000,,,,0.6239530444145203,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_115,2024-08-23T06:05:01.990000,R50D6,2024-08-23T06:05:01.990000,,,,0.6823288798332214,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_116,2024-08-23T06:07:35.980000,R50D6,2024-08-23T06:07:35.980000,,,,0.2138118594884872,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_117,2024-08-23T06:07:36.980000,R50D6,2024-08-23T06:07:36.980000,,,,0.2109110653400421,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_118,2024-08-23T06:08:06.980000,R50D6,2024-08-23T06:08:06.980000,,,,0.2865420579910278,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_119,2024-08-23T06:08:07.970000,R50D6,2024-08-23T06:08:07.970000,,,,0.2365691363811493,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_120,2024-08-23T06:11:36.010000,R50D6,2024-08-23T06:11:36.010000,,,,0.8951411247253418,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_121,2024-08-23T06:17:38.560000,R50D6,2024-08-23T06:17:38.560000,,,,0.5429345965385437,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_122,2024-08-23T06:18:01.070000,R50D6,2024-08-23T06:18:01.070000,,,,0.6125131845474243,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_123,2024-08-23T06:18:38,R50D6,2024-08-23T06:18:38,,,,0.4187429845333099,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_124,2024-08-23T06:23:18.970000,R50D6,2024-08-23T06:23:18.970000,,,,0.3425979912281036,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_125,2024-08-23T06:26:25.780000,R50D6,2024-08-23T06:26:25.780000,,,,0.7320002317428589,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_126,,R50D6,2024-08-23T06:26:26.300000,,,,,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_127,2024-08-23T06:27:06.020000,R50D6,2024-08-23T06:27:06.020000,,,,0.6920270919799805,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_128,2024-08-23T06:28:23,R50D6,2024-08-23T06:28:23,,,,0.6206567287445068,
