provider,event_id,s_predicted,lat,p_predicted,p_detected,plot_path,s_detected,code,s_confidence,mag,epi_distance,unique_id,time,s_error,date,network,p_error,long,depth,detected,mag_type,p_confidence,catalogued
EMSC,quakeml:eu.emsc/event/20240615_0000262,2024-06-15T19:55:47.201742,59.9332,2024-06-15T19:47:13.287780,,,,R50D6,,2.2,7012.962066330157,2024-06-15_143,2024-06-15T19:36:42.819000,,2024-06-15,AM,,-153.0455,122.1,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000266,2024-06-15T19:40:51.542417,35.29,2024-06-15T19:36:13.816700,,,,R50D6,,2.4,2877.4750038931625,2024-06-15_144,2024-06-15T19:30:37,,2024-06-15,AM,,23.13,5.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000203,2024-06-15T19:25:36.533929,39.5386,2024-06-15T19:20:59.416379,,,,R50D6,,1.5,2642.639614541896,2024-06-15_145,2024-06-15T19:15:43,,2024-06-15,AM,,25.7764,7.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000196,2024-06-15T18:51:11.717106,39.5,2024-06-15T18:47:11.767986,,,,R50D6,,2.3,2351.698808550522,2024-06-15_146,2024-06-15T18:42:20.700000,,2024-06-15,AM,,20.32,5.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000195,2024-06-15T18:45:59.889327,45.75,2024-06-15T18:43:28.259396,2024-06-15T18:43:22,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-06-15/report/2024-06-15_147_event_plot.png?raw=true,,R50D6,,1.1,1494.2099389514651,2024-06-15_147,2024-06-15T18:40:16,,2024-06-15,AM,-6.259396,14.14,0.2,True,ml,0.2887447476387024,True
EMSC,quakeml:eu.emsc/event/20240615_0000248,2024-06-15T18:58:29.650965,16.07,2024-06-15T18:48:21.574690,2024-06-15T18:48:22.330000,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-06-15/report/2024-06-15_148_event_plot.png?raw=true,,R50D6,,3.4,8934.149919296402,2024-06-15_148,2024-06-15T18:36:08,,2024-06-15,AM,0.75531,-97.61,13.5,True,m,0.1859640181064605,True
EMSC,quakeml:eu.emsc/event/20240615_0000256,2024-06-15T18:50:44.583083,-25.1711,2024-06-15T18:39:51.793437,,,,R50D6,,2.7,9993.117573966643,2024-06-15_149,2024-06-15T18:26:52.119922,,2024-06-15,AM,,-49.5186,0.1,False,mr,,True
EMSC,quakeml:eu.emsc/event/20240615_0000249,2024-06-15T18:48:55.576134,15.85,2024-06-15T18:38:48.023278,,,,R50D6,,3.5,8922.91124101313,2024-06-15_150,2024-06-15T18:26:35,,2024-06-15,AM,,-97.11,4.2,False,m,,True
EMSC,quakeml:eu.emsc/event/20240615_0000194,2024-06-15T18:28:26.057051,35.4389,2024-06-15T18:24:40.331729,,,,R50D6,,1.9,2154.951452445687,2024-06-15_151,2024-06-15T18:20:06.440000,,2024-06-15,AM,,-3.6323,17.6,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000189,2024-06-15T17:51:41.825003,31.682,2024-06-15T17:42:21.176920,,,,R50D6,,2.6,7932.785943020206,2024-06-15_152,2024-06-15T17:30:58.613085,,2024-06-15,AM,,-104.396,4.8,False,ml,,True
