p_detected,plot_path,epi_distance,time,depth,detected,p_predicted,catalogued,mag_type,network,date,s_confidence,long,mag,s_error,p_confidence,provider,event_id,s_detected,lat,unique_id,p_error,s_predicted,code
2024-07-01T05:36:40.980000,,,2024-07-01T05:36:40.980000,,True,,False,,AM,2024-07-01,,,,,0.6039586067199707,Detection,,,,2024-07-01_89,,,R50D6
2024-07-01T05:36:42,,,2024-07-01T05:36:42,,True,,False,,AM,2024-07-01,,,,,0.25198784470558167,Detection,,,,2024-07-01_90,,,R50D6
2024-07-01T05:37:00.620000,,,2024-07-01T05:37:00.620000,,True,,False,,AM,2024-07-01,,,,,0.4805138409137726,Detection,,,,2024-07-01_91,,,R50D6
2024-07-01T05:38:05.010000,,,2024-07-01T05:38:05.010000,,True,,False,,AM,2024-07-01,,,,,0.5479295253753662,Detection,,,,2024-07-01_92,,,R50D6
2024-07-01T05:38:06,,,2024-07-01T05:38:06,,True,,False,,AM,2024-07-01,,,,,0.2859249413013458,Detection,,,,2024-07-01_93,,,R50D6
2024-07-01T05:45:56.870000,,,2024-07-01T05:45:56.870000,,True,,False,,AM,2024-07-01,,,,,0.8665628433227539,Detection,,,,2024-07-01_94,,,R50D6
,,,2024-07-01T05:45:57.470000,,True,,False,,AM,2024-07-01,,,,,,Detection,,,,2024-07-01_95,,,R50D6
2024-07-01T05:51:41.020000,,,2024-07-01T05:51:41.020000,,True,,False,,AM,2024-07-01,,,,,0.7970812320709229,Detection,,,,2024-07-01_96,,,R50D6
2024-07-01T05:52:21.040000,,,2024-07-01T05:52:21.040000,,True,,False,,AM,2024-07-01,,,,,0.6428237557411194,Detection,,,,2024-07-01_97,,,R50D6
2024-07-01T05:53:57.170000,,,2024-07-01T05:53:57.170000,,True,,False,,AM,2024-07-01,,,,,0.22958515584468842,Detection,,,,2024-07-01_98,,,R50D6
2024-07-01T06:03:44.810000,,,2024-07-01T06:03:44.810000,,True,,False,,AM,2024-07-01,,,,,0.8011968731880188,Detection,,,,2024-07-01_99,,,R50D6
2024-07-01T06:03:54.340000,,,2024-07-01T06:03:54.340000,,True,,False,,AM,2024-07-01,,,,,0.273873895406723,Detection,,,,2024-07-01_100,,,R50D6
2024-07-01T06:04:55.660000,,,2024-07-01T06:04:55.660000,,True,,False,,AM,2024-07-01,,,,,0.85223788022995,Detection,,,,2024-07-01_101,,,R50D6
,,,2024-07-01T06:04:56.150000,,True,,False,,AM,2024-07-01,,,,,,Detection,,,,2024-07-01_102,,,R50D6
2024-07-01T06:05:06.960000,,,2024-07-01T06:05:06.960000,,True,,False,,AM,2024-07-01,,,,,0.7626150846481323,Detection,,,,2024-07-01_103,,,R50D6
2024-07-01T06:12:19.050000,,,2024-07-01T06:12:19.050000,,True,,False,,AM,2024-07-01,,,,,0.7218387722969055,Detection,,,,2024-07-01_104,,,R50D6
2024-07-01T06:14:38,,,2024-07-01T06:14:38,,True,,False,,AM,2024-07-01,,,,,0.8745260834693909,Detection,,,,2024-07-01_105,,,R50D6
2024-07-01T06:15:50.980000,,,2024-07-01T06:15:50.980000,,True,,False,,AM,2024-07-01,,,,,0.5671077370643616,Detection,,,,2024-07-01_106,,,R50D6
2024-07-01T06:17:35.040000,,,2024-07-01T06:17:35.040000,,True,,False,,AM,2024-07-01,,,,,0.3195580840110779,Detection,,,,2024-07-01_107,,,R50D6
2024-07-01T06:19:23.970000,,,2024-07-01T06:19:23.970000,,True,,False,,AM,2024-07-01,,,,,0.8857235312461853,Detection,,,,2024-07-01_108,,,R50D6
2024-07-01T06:21:24.960000,,,2024-07-01T06:21:24.960000,,True,,False,,AM,2024-07-01,,,,,0.5307790040969849,Detection,,,,2024-07-01_109,,,R50D6
2024-07-01T06:29:12.120000,,,2024-07-01T06:29:12.120000,,True,,False,,AM,2024-07-01,,,,,0.27063101530075073,Detection,,,,2024-07-01_110,,,R50D6
2024-07-01T06:30:12.270000,,,2024-07-01T06:30:12.270000,,True,,False,,AM,2024-07-01,,,,,0.43305277824401855,Detection,,,,2024-07-01_111,,,R50D6
2024-07-01T06:30:43.860000,,,2024-07-01T06:30:43.860000,,True,,False,,AM,2024-07-01,,,,,0.42936134338378906,Detection,,,,2024-07-01_112,,,R50D6
2024-07-01T06:31:19.880000,,,2024-07-01T06:31:19.880000,,True,,False,,AM,2024-07-01,,,,,0.20131264626979828,Detection,,,,2024-07-01_113,,,R50D6
2024-07-01T06:38:07.010000,,,2024-07-01T06:38:07.010000,,True,,False,,AM,2024-07-01,,,,,0.481015145778656,Detection,,,,2024-07-01_114,,,R50D6
2024-07-01T06:39:19.130000,,,2024-07-01T06:39:19.130000,,True,,False,,AM,2024-07-01,,,,,0.24574561417102814,Detection,,,,2024-07-01_115,,,R50D6
2024-07-01T06:39:52.130000,,,2024-07-01T06:39:52.130000,,True,,False,,AM,2024-07-01,,,,,0.40854066610336304,Detection,,,,2024-07-01_116,,,R50D6
2024-07-01T06:42:08.010000,,,2024-07-01T06:42:08.010000,,True,,False,,AM,2024-07-01,,,,,0.6692759394645691,Detection,,,,2024-07-01_117,,,R50D6
2024-07-01T06:42:19.860000,,,2024-07-01T06:42:19.860000,,True,,False,,AM,2024-07-01,,,,,0.3756718337535858,Detection,,,,2024-07-01_118,,,R50D6
2024-07-01T06:47:36.010000,,,2024-07-01T06:47:36.010000,,True,,False,,AM,2024-07-01,,,,,0.61043781042099,Detection,,,,2024-07-01_119,,,R50D6
2024-07-01T06:48:12.010000,,,2024-07-01T06:48:12.010000,,True,,False,,AM,2024-07-01,,,,,0.26028206944465637,Detection,,,,2024-07-01_120,,,R50D6
2024-07-01T06:53:16.340000,,,2024-07-01T06:53:16.340000,,True,,False,,AM,2024-07-01,,,,,0.6549109816551208,Detection,,,,2024-07-01_121,,,R50D6
2024-07-01T06:54:39.010000,,,2024-07-01T06:54:39.010000,,True,,False,,AM,2024-07-01,,,,,0.6642279028892517,Detection,,,,2024-07-01_122,,,R50D6
2024-07-01T06:55:20.930000,,,2024-07-01T06:55:20.930000,,True,,False,,AM,2024-07-01,,,,,0.5574246644973755,Detection,,,,2024-07-01_123,,,R50D6
2024-07-01T06:56:37,,,2024-07-01T06:56:37,,True,,False,,AM,2024-07-01,,,,,0.7165320515632629,Detection,,,,2024-07-01_124,,,R50D6
2024-07-01T06:57:28.060000,,,2024-07-01T06:57:28.060000,,True,,False,,AM,2024-07-01,,,,,0.6413331031799316,Detection,,,,2024-07-01_125,,,R50D6
2024-07-01T07:02:22.240000,,,2024-07-01T07:02:22.240000,,True,,False,,AM,2024-07-01,,,,,0.28594082593917847,Detection,,,,2024-07-01_126,,,R50D6
2024-07-01T07:03:39,,,2024-07-01T07:03:39,,True,,False,,AM,2024-07-01,,,,,0.9230120778083801,Detection,,,,2024-07-01_127,,,R50D6
2024-07-01T07:04:08.980000,,,2024-07-01T07:04:08.980000,,True,,False,,AM,2024-07-01,,,,,0.5720937252044678,Detection,,,,2024-07-01_128,,,R50D6
2024-07-01T07:05:18,,,2024-07-01T07:05:18,,True,,False,,AM,2024-07-01,,,,,0.30720382928848267,Detection,,,,2024-07-01_129,,,R50D6
2024-07-01T07:05:53.060000,,,2024-07-01T07:05:53.060000,,True,,False,,AM,2024-07-01,,,,,0.33127182722091675,Detection,,,,2024-07-01_130,,,R50D6
2024-07-01T07:05:54.030000,,,2024-07-01T07:05:54.030000,,True,,False,,AM,2024-07-01,,,,,0.4527263343334198,Detection,,,,2024-07-01_131,,,R50D6
2024-07-01T07:07:23.970000,,,2024-07-01T07:07:23.970000,,True,,False,,AM,2024-07-01,,,,,0.7586461305618286,Detection,,,,2024-07-01_132,,,R50D6
2024-07-01T07:07:41.780000,,,2024-07-01T07:07:41.780000,,True,,False,,AM,2024-07-01,,,,,0.26076507568359375,Detection,,,,2024-07-01_133,,,R50D6
2024-07-01T07:10:05,,,2024-07-01T07:10:05,,True,,False,,AM,2024-07-01,,,,,0.3874141573905945,Detection,,,,2024-07-01_134,,,R50D6
2024-07-01T07:10:06.990000,,,2024-07-01T07:10:06.990000,,True,,False,,AM,2024-07-01,,,,,0.21225851774215698,Detection,,,,2024-07-01_135,,,R50D6
2024-07-01T07:11:06,,,2024-07-01T07:11:06,,True,,False,,AM,2024-07-01,,,,,0.520377516746521,Detection,,,,2024-07-01_136,,,R50D6
2024-07-01T07:14:07.220000,,,2024-07-01T07:14:07.220000,,True,,False,,AM,2024-07-01,,,,,0.4807567298412323,Detection,,,,2024-07-01_137,,,R50D6
2024-07-01T07:17:51.950000,,,2024-07-01T07:17:51.950000,,True,,False,,AM,2024-07-01,,,,,0.7389729022979736,Detection,,,,2024-07-01_138,,,R50D6
2024-07-01T07:21:20.560000,,,2024-07-01T07:21:20.560000,,True,,False,,AM,2024-07-01,,,,,0.40223994851112366,Detection,,,,2024-07-01_139,,,R50D6
,,,2024-07-01T07:21:20.910000,,True,,False,,AM,2024-07-01,,,,,,Detection,,,,2024-07-01_140,,,R50D6
2024-07-01T07:22:28.090000,,,2024-07-01T07:22:28.090000,,True,,False,,AM,2024-07-01,,,,,0.23103216290473938,Detection,,,,2024-07-01_141,,,R50D6
2024-07-01T07:25:08.410000,,,2024-07-01T07:25:08.410000,,True,,False,,AM,2024-07-01,,,,,0.5579239726066589,Detection,,,,2024-07-01_142,,,R50D6
2024-07-01T07:26:42.230000,,,2024-07-01T07:26:42.230000,,True,,False,,AM,2024-07-01,,,,,0.39003363251686096,Detection,,,,2024-07-01_143,,,R50D6
2024-07-01T07:28:22.140000,,,2024-07-01T07:28:22.140000,,True,,False,,AM,2024-07-01,,,,,0.2280542254447937,Detection,,,,2024-07-01_144,,,R50D6
