detected,plot_path,depth,mag,time,s_detected,unique_id,p_detected,catalogued,date,p_confidence,p_predicted,event_id,mag_type,code,network,s_confidence,s_predicted,long,s_error,lat,provider,epi_distance,p_error
True,,,,2024-07-02T05:24:28.250000,,2024-07-02_96,2024-07-02T05:24:28.250000,False,2024-07-02,0.5353203415870667,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:25:20.170000,,2024-07-02_97,2024-07-02T05:25:20.170000,False,2024-07-02,0.6818107962608337,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:35:36.060000,,2024-07-02_98,2024-07-02T05:35:36.060000,False,2024-07-02,0.2186940312385559,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:37:38.010000,,2024-07-02_99,2024-07-02T05:37:38.010000,False,2024-07-02,0.7663959860801697,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:38:22.780000,,2024-07-02_100,2024-07-02T05:38:22.780000,False,2024-07-02,0.3388813436031341,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:42:20.850000,,2024-07-02_101,2024-07-02T05:42:20.850000,False,2024-07-02,0.2588863670825958,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:44:34,,2024-07-02_102,2024-07-02T05:44:34,False,2024-07-02,0.4135575592517853,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:45:53.140000,,2024-07-02_103,2024-07-02T05:45:53.140000,False,2024-07-02,0.274556964635849,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:46:19.260000,,2024-07-02_104,2024-07-02T05:46:19.260000,False,2024-07-02,0.7100844383239746,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:50:25.140000,,2024-07-02_105,2024-07-02T05:50:25.140000,False,2024-07-02,0.2897452712059021,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:51:36,,2024-07-02_106,2024-07-02T05:51:36,False,2024-07-02,0.8543188571929932,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:53:36.990000,,2024-07-02_107,2024-07-02T05:53:36.990000,False,2024-07-02,0.8119795918464661,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:53:37.720000,,2024-07-02_108,,False,2024-07-02,,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T05:55:08.340000,,2024-07-02_109,2024-07-02T05:55:08.340000,False,2024-07-02,0.6448702812194824,,,,R50D6,AM,,,,,,Detection,,
