long,detected,unique_id,epi_distance,event_id,s_detected,provider,network,s_confidence,s_predicted,p_detected,p_confidence,lat,date,plot_path,p_error,depth,time,p_predicted,mag,s_error,catalogued,code,mag_type
,True,2024-08-23_87,,,,Detection,AM,,,2024-08-23T03:58:10.030000,0.5290547609329224,,2024-08-23,,,,2024-08-23T03:58:10.030000,,,,False,R50D6,
,True,2024-08-23_88,,,,Detection,AM,,,,,,2024-08-23,,,,2024-08-23T03:58:10.800000,,,,False,R50D6,
,True,2024-08-23_89,,,,Detection,AM,,,2024-08-23T04:00:21.940000,0.31780925393104553,,2024-08-23,,,,2024-08-23T04:00:21.940000,,,,False,R50D6,
,True,2024-08-23_90,,,,Detection,AM,,,2024-08-23T04:14:35,0.15908297896385193,,2024-08-23,,,,2024-08-23T04:14:35,,,,False,R50D6,
,True,2024-08-23_91,,,,Detection,AM,,,2024-08-23T04:14:35.960000,0.17388461530208588,,2024-08-23,,,,2024-08-23T04:14:35.960000,,,,False,R50D6,
,True,2024-08-23_92,,,,Detection,AM,,,2024-08-23T04:19:20.970000,0.251569539308548,,2024-08-23,,,,2024-08-23T04:19:20.970000,,,,False,R50D6,
,True,2024-08-23_93,,,,Detection,AM,,,2024-08-23T04:19:21.930000,0.15296615660190582,,2024-08-23,,,,2024-08-23T04:19:21.930000,,,,False,R50D6,
,True,2024-08-23_94,,,,Detection,AM,,,2024-08-23T04:19:52.030000,0.39361780881881714,,2024-08-23,,,,2024-08-23T04:19:52.030000,,,,False,R50D6,
,True,2024-08-23_95,,,,Detection,AM,,,2024-08-23T04:20:07.960000,0.20991910994052887,,2024-08-23,,,,2024-08-23T04:20:07.960000,,,,False,R50D6,
,True,2024-08-23_96,,,,Detection,AM,,,2024-08-23T04:20:08.990000,0.11841341108083725,,2024-08-23,,,,2024-08-23T04:20:08.990000,,,,False,R50D6,
,True,2024-08-23_97,,,,Detection,AM,,,2024-08-23T04:23:07.980000,0.49442800879478455,,2024-08-23,,,,2024-08-23T04:23:07.980000,,,,False,R50D6,
,True,2024-08-23_98,,,,Detection,AM,,,2024-08-23T04:23:08.990000,0.2195190042257309,,2024-08-23,,,,2024-08-23T04:23:08.990000,,,,False,R50D6,
,True,2024-08-23_99,,,,Detection,AM,,,2024-08-23T04:24:52.060000,0.49521034955978394,,2024-08-23,,,,2024-08-23T04:24:52.060000,,,,False,R50D6,
,True,2024-08-23_100,,,,Detection,AM,,,2024-08-23T04:25:21.080000,0.7087300419807434,,2024-08-23,,,,2024-08-23T04:25:21.080000,,,,False,R50D6,
,True,2024-08-23_101,,,,Detection,AM,,,2024-08-23T04:28:21.960000,0.4522690176963806,,2024-08-23,,,,2024-08-23T04:28:21.960000,,,,False,R50D6,
,True,2024-08-23_102,,,,Detection,AM,,,2024-08-23T04:35:39.020000,0.732419490814209,,2024-08-23,,,,2024-08-23T04:35:39.020000,,,,False,R50D6,
,True,2024-08-23_103,,,,Detection,AM,,,2024-08-23T04:37:52,0.19820310175418854,,2024-08-23,,,,2024-08-23T04:37:52,,,,False,R50D6,
,True,2024-08-23_104,,,,Detection,AM,,,2024-08-23T04:37:53.040000,0.5152786374092102,,2024-08-23,,,,2024-08-23T04:37:53.040000,,,,False,R50D6,
,True,2024-08-23_105,,,,Detection,AM,,,2024-08-23T04:38:11.090000,0.4000152349472046,,2024-08-23,,,,2024-08-23T04:38:11.090000,,,,False,R50D6,
