event_id,long,p_error,mag_type,date,p_detected,p_confidence,catalogued,lat,depth,s_confidence,detected,network,s_predicted,provider,mag,p_predicted,plot_path,code,epi_distance,time,s_error,s_detected,unique_id
,,,,2024-08-23,2024-08-23T05:13:06.880000,0.4368100166320801,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:13:06.880000,,,2024-08-23_82
,,,,2024-08-23,2024-08-23T05:13:20.790000,0.6004816889762878,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:13:20.790000,,,2024-08-23_83
,,,,2024-08-23,2024-08-23T05:13:49.600000,0.4326925575733185,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:13:49.600000,,,2024-08-23_84
,,,,2024-08-23,2024-08-23T05:16:05.010000,0.7988004684448242,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:16:05.010000,,,2024-08-23_85
,,,,2024-08-23,2024-08-23T05:20:52.900000,0.2063779383897781,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:20:52.900000,,,2024-08-23_86
,,,,2024-08-23,2024-08-23T05:21:29.930000,0.6184221506118774,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:21:29.930000,,,2024-08-23_87
,,,,2024-08-23,2024-08-23T05:27:16.010000,0.2650030255317688,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:27:16.010000,,,2024-08-23_88
,,,,2024-08-23,2024-08-23T05:28:54.990000,0.6015134453773499,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:28:54.990000,,,2024-08-23_89
,,,,2024-08-23,2024-08-23T05:28:55.470000,0.4883177876472473,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:28:55.470000,,,2024-08-23_90
,,,,2024-08-23,2024-08-23T05:33:08.980000,0.4207245409488678,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:33:08.980000,,,2024-08-23_91
,,,,2024-08-23,2024-08-23T05:33:09.960000,0.4574576020240783,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:33:09.960000,,,2024-08-23_92
,,,,2024-08-23,2024-08-23T05:37:05.030000,0.3698779642581939,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:37:05.030000,,,2024-08-23_93
,,,,2024-08-23,2024-08-23T05:38:45.890000,0.2269347310066223,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:38:45.890000,,,2024-08-23_94
,,,,2024-08-23,2024-08-23T05:39:08.850000,0.259004145860672,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:39:08.850000,,,2024-08-23_95
,,,,2024-08-23,2024-08-23T05:39:54.020000,0.4672495126724243,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:39:54.020000,,,2024-08-23_96
,,,,2024-08-23,2024-08-23T05:40:52.510000,0.4262879192829132,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:40:52.510000,,,2024-08-23_97
,,,,2024-08-23,2024-08-23T05:42:21.890000,0.5336184501647949,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:42:21.890000,,,2024-08-23_98
,,,,2024-08-23,2024-08-23T05:44:38.010000,0.7905741333961487,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:44:38.010000,,,2024-08-23_99
,,,,2024-08-23,2024-08-23T05:45:19.730000,0.5410248041152954,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:45:19.730000,,,2024-08-23_100
,,,,2024-08-23,,,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:45:20.530000,,,2024-08-23_101
,,,,2024-08-23,2024-08-23T05:48:32.170000,0.4581848680973053,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:48:32.170000,,,2024-08-23_102
,,,,2024-08-23,,,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:48:32.520000,,,2024-08-23_103
,,,,2024-08-23,2024-08-23T05:48:54.160000,0.6738490462303162,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:48:54.160000,,,2024-08-23_104
,,,,2024-08-23,,,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:48:54.420000,,,2024-08-23_105
,,,,2024-08-23,2024-08-23T05:50:22.110000,0.416629821062088,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:50:22.110000,,,2024-08-23_106
,,,,2024-08-23,2024-08-23T05:52:26.240000,0.8249998092651367,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:52:26.240000,,,2024-08-23_107
,,,,2024-08-23,2024-08-23T05:52:56.970000,0.8334150910377502,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:52:56.970000,,,2024-08-23_108
,,,,2024-08-23,2024-08-23T05:54:10.830000,0.6210201382637024,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:54:10.830000,,,2024-08-23_109
,,,,2024-08-23,2024-08-23T05:55:30.690000,0.5458056926727295,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:55:30.690000,,,2024-08-23_110
,,,,2024-08-23,2024-08-23T05:55:53.990000,0.2110475450754165,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:55:53.990000,,,2024-08-23_111
,,,,2024-08-23,2024-08-23T05:58:03.880000,0.4615821838378906,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:58:03.880000,,,2024-08-23_112
,,,,2024-08-23,2024-08-23T05:59:11.980000,0.6869409680366516,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T05:59:11.980000,,,2024-08-23_113
,,,,2024-08-23,2024-08-23T06:02:13.150000,0.6239530444145203,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:02:13.150000,,,2024-08-23_114
,,,,2024-08-23,2024-08-23T06:05:01.990000,0.6823288798332214,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:05:01.990000,,,2024-08-23_115
,,,,2024-08-23,2024-08-23T06:07:35.980000,0.2138118594884872,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:07:35.980000,,,2024-08-23_116
,,,,2024-08-23,2024-08-23T06:07:36.980000,0.2109110653400421,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:07:36.980000,,,2024-08-23_117
,,,,2024-08-23,2024-08-23T06:08:06.980000,0.2865420579910278,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:08:06.980000,,,2024-08-23_118
,,,,2024-08-23,2024-08-23T06:08:07.970000,0.2365691363811493,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:08:07.970000,,,2024-08-23_119
,,,,2024-08-23,2024-08-23T06:11:36.010000,0.8951411247253418,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:11:36.010000,,,2024-08-23_120
,,,,2024-08-23,2024-08-23T06:17:38.560000,0.5429345965385437,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:17:38.560000,,,2024-08-23_121
,,,,2024-08-23,2024-08-23T06:18:01.070000,0.6125131845474243,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:18:01.070000,,,2024-08-23_122
,,,,2024-08-23,2024-08-23T06:18:38,0.4187429845333099,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:18:38,,,2024-08-23_123
,,,,2024-08-23,2024-08-23T06:23:18.970000,0.3425979912281036,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:23:18.970000,,,2024-08-23_124
,,,,2024-08-23,2024-08-23T06:26:25.780000,0.7320002317428589,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:26:25.780000,,,2024-08-23_125
,,,,2024-08-23,,,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:26:26.300000,,,2024-08-23_126
,,,,2024-08-23,2024-08-23T06:27:06.020000,0.6920270919799805,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:27:06.020000,,,2024-08-23_127
,,,,2024-08-23,2024-08-23T06:28:23,0.6206567287445068,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:28:23,,,2024-08-23_128
,,,,2024-08-23,2024-08-23T06:29:20.040000,0.8843703269958496,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:29:20.040000,,,2024-08-23_129
,,,,2024-08-23,2024-08-23T06:30:39,0.8769389986991882,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:30:39,,,2024-08-23_130
,,,,2024-08-23,2024-08-23T06:31:25.020000,0.8881336450576782,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:31:25.020000,,,2024-08-23_131
,,,,2024-08-23,,,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:31:25.600000,,,2024-08-23_132
,,,,2024-08-23,2024-08-23T06:32:35,0.4416654407978058,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:32:35,,,2024-08-23_133
,,,,2024-08-23,2024-08-23T06:32:35.990000,0.3731890320777893,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:32:35.990000,,,2024-08-23_134
,,,,2024-08-23,2024-08-23T06:34:19.040000,0.7282018661499023,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:34:19.040000,,,2024-08-23_135
,,,,2024-08-23,2024-08-23T06:37:20.020000,0.6152058839797974,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:37:20.020000,,,2024-08-23_136
,,,,2024-08-23,,,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:37:20.310000,,,2024-08-23_137
,,,,2024-08-23,2024-08-23T06:37:45.140000,0.420381635427475,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:37:45.140000,,,2024-08-23_138
,,,,2024-08-23,,,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:37:46.670000,,,2024-08-23_139
,,,,2024-08-23,2024-08-23T06:38:37.060000,0.5022830367088318,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:38:37.060000,,,2024-08-23_140
,,,,2024-08-23,2024-08-23T06:48:20,0.2034134119749069,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:48:20,,,2024-08-23_141
,,,,2024-08-23,2024-08-23T06:48:21.030000,0.2043528258800506,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:48:21.030000,,,2024-08-23_142
,,,,2024-08-23,2024-08-23T06:49:07.980000,0.5129600167274475,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:49:07.980000,,,2024-08-23_143
,,,,2024-08-23,2024-08-23T06:50:01.380000,0.6594699621200562,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:50:01.380000,,,2024-08-23_144
,,,,2024-08-23,2024-08-23T06:52:09.990000,0.8109593987464905,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:52:09.990000,,,2024-08-23_145
,,,,2024-08-23,2024-08-23T06:53:42.210000,0.2726386189460754,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:53:42.210000,,,2024-08-23_146
,,,,2024-08-23,2024-08-23T06:56:38.990000,0.3918763697147369,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:56:38.990000,,,2024-08-23_147
,,,,2024-08-23,2024-08-23T06:57:06,0.7985036373138428,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:57:06,,,2024-08-23_148
,,,,2024-08-23,2024-08-23T06:58:46.370000,0.4293268024921417,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:58:46.370000,,,2024-08-23_149
,,,,2024-08-23,2024-08-23T06:59:08.410000,0.2237826734781265,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T06:59:08.410000,,,2024-08-23_150
