event_id,provider,long,epi_distance,s_predicted,p_error,time,mag_type,code,mag,date,s_detected,plot_path,detected,p_predicted,p_confidence,depth,p_detected,network,unique_id,s_confidence,s_error,catalogued,lat
,Detection,,,,,2024-07-01T11:01:35.040000,,R50D6,,2024-07-01,,,True,,0.6480055451393127,,2024-07-01T11:01:35.040000,AM,2024-07-01_136,,,False,
,Detection,,,,,2024-07-01T11:03:38,,R50D6,,2024-07-01,,,True,,0.8732928037643433,,2024-07-01T11:03:38,AM,2024-07-01_137,,,False,
,Detection,,,,,2024-07-01T11:07:36.010000,,R50D6,,2024-07-01,,,True,,0.5233412981033325,,2024-07-01T11:07:36.010000,AM,2024-07-01_138,,,False,
,Detection,,,,,2024-07-01T11:09:39,,R50D6,,2024-07-01,,,True,,0.7289478778839111,,2024-07-01T11:09:39,AM,2024-07-01_139,,,False,
,Detection,,,,,2024-07-01T11:10:26.090000,,R50D6,,2024-07-01,,,True,,0.8325489163398743,,2024-07-01T11:10:26.090000,AM,2024-07-01_140,,,False,
,Detection,,,,,2024-07-01T11:11:51.080000,,R50D6,,2024-07-01,,,True,,0.8058274984359741,,2024-07-01T11:11:51.080000,AM,2024-07-01_141,,,False,
,Detection,,,,,2024-07-01T11:13:13.290000,,R50D6,,2024-07-01,,,True,,0.770677924156189,,2024-07-01T11:13:13.290000,AM,2024-07-01_142,,,False,
,Detection,,,,,2024-07-01T11:15:11,,R50D6,,2024-07-01,,,True,,0.7727032899856567,,2024-07-01T11:15:11,AM,2024-07-01_143,,,False,
,Detection,,,,,2024-07-01T11:17:30.510000,,R50D6,,2024-07-01,,,True,,0.7175635695457458,,2024-07-01T11:17:30.510000,AM,2024-07-01_144,,,False,
,Detection,,,,,2024-07-01T11:19:21.090000,,R50D6,,2024-07-01,,,True,,0.7660998106002808,,2024-07-01T11:19:21.090000,AM,2024-07-01_145,,,False,
,Detection,,,,,2024-07-01T11:20:25.880000,,R50D6,,2024-07-01,,,True,,0.5302771925926208,,2024-07-01T11:20:25.880000,AM,2024-07-01_146,,,False,
,Detection,,,,,2024-07-01T11:23:04.920000,,R50D6,,2024-07-01,,,True,,0.7280692458152771,,2024-07-01T11:23:04.920000,AM,2024-07-01_147,,,False,
,Detection,,,,,2024-07-01T11:40:21.140000,,R50D6,,2024-07-01,,,True,,0.7572295069694519,,2024-07-01T11:40:21.140000,AM,2024-07-01_148,,,False,
,Detection,,,,,2024-07-01T11:45:08.030000,,R50D6,,2024-07-01,,,True,,0.6746599674224854,,2024-07-01T11:45:08.030000,AM,2024-07-01_149,,,False,
,Detection,,,,,2024-07-01T11:45:08.920000,,R50D6,,2024-07-01,,,True,,,,,AM,2024-07-01_150,,,False,
,Detection,,,,,2024-07-01T11:45:51.070000,,R50D6,,2024-07-01,,,True,,0.5682917237281799,,2024-07-01T11:45:51.070000,AM,2024-07-01_151,,,False,
,Detection,,,,,2024-07-01T11:46:37.010000,,R50D6,,2024-07-01,,,True,,0.8801959753036499,,2024-07-01T11:46:37.010000,AM,2024-07-01_152,,,False,
,Detection,,,,,2024-07-01T11:49:40.880000,,R50D6,,2024-07-01,,,True,,0.6056020259857178,,2024-07-01T11:49:40.880000,AM,2024-07-01_153,,,False,
,Detection,,,,,2024-07-01T11:53:38.830000,,R50D6,,2024-07-01,,,True,,0.7263950109481812,,2024-07-01T11:53:38.830000,AM,2024-07-01_154,,,False,
,Detection,,,,,2024-07-01T11:55:45.870000,,R50D6,,2024-07-01,,,True,,0.7936710715293884,,2024-07-01T11:55:45.870000,AM,2024-07-01_155,,,False,
,Detection,,,,,2024-07-01T11:59:05,,R50D6,,2024-07-01,,,True,,0.6943503618240356,,2024-07-01T11:59:05,AM,2024-07-01_156,,,False,
,Detection,,,,,2024-07-01T11:59:38.960000,,R50D6,,2024-07-01,,,True,,0.6112971305847168,,2024-07-01T11:59:38.960000,AM,2024-07-01_157,,,False,
