s_error,s_detected,mag_type,date,p_predicted,long,provider,s_confidence,epi_distance,p_confidence,catalogued,s_predicted,p_detected,unique_id,lat,network,detected,code,time,depth,event_id,plot_path,mag,p_error
,,,2024-07-01,,,Detection,,,0.2013126462697982,False,,2024-07-01T06:31:19.880000,2024-07-01_113,,AM,True,R50D6,2024-07-01T06:31:19.880000,,,,,
,,,2024-07-01,,,Detection,,,0.481015145778656,False,,2024-07-01T06:38:07.010000,2024-07-01_114,,AM,True,R50D6,2024-07-01T06:38:07.010000,,,,,
,,,2024-07-01,,,Detection,,,0.2457456141710281,False,,2024-07-01T06:39:19.130000,2024-07-01_115,,AM,True,R50D6,2024-07-01T06:39:19.130000,,,,,
,,,2024-07-01,,,Detection,,,0.408540666103363,False,,2024-07-01T06:39:52.130000,2024-07-01_116,,AM,True,R50D6,2024-07-01T06:39:52.130000,,,,,
,,,2024-07-01,,,Detection,,,0.6692759394645691,False,,2024-07-01T06:42:08.010000,2024-07-01_117,,AM,True,R50D6,2024-07-01T06:42:08.010000,,,,,
,,,2024-07-01,,,Detection,,,0.3756718337535858,False,,2024-07-01T06:42:19.860000,2024-07-01_118,,AM,True,R50D6,2024-07-01T06:42:19.860000,,,,,
,,,2024-07-01,,,Detection,,,0.61043781042099,False,,2024-07-01T06:47:36.010000,2024-07-01_119,,AM,True,R50D6,2024-07-01T06:47:36.010000,,,,,
,,,2024-07-01,,,Detection,,,0.2602820694446563,False,,2024-07-01T06:48:12.010000,2024-07-01_120,,AM,True,R50D6,2024-07-01T06:48:12.010000,,,,,
,,,2024-07-01,,,Detection,,,0.6549109816551208,False,,2024-07-01T06:53:16.340000,2024-07-01_121,,AM,True,R50D6,2024-07-01T06:53:16.340000,,,,,
,,,2024-07-01,,,Detection,,,0.6642279028892517,False,,2024-07-01T06:54:39.010000,2024-07-01_122,,AM,True,R50D6,2024-07-01T06:54:39.010000,,,,,
,,,2024-07-01,,,Detection,,,0.5574246644973755,False,,2024-07-01T06:55:20.930000,2024-07-01_123,,AM,True,R50D6,2024-07-01T06:55:20.930000,,,,,
,,,2024-07-01,,,Detection,,,0.7165320515632629,False,,2024-07-01T06:56:37,2024-07-01_124,,AM,True,R50D6,2024-07-01T06:56:37,,,,,
,,,2024-07-01,,,Detection,,,0.6413331031799316,False,,2024-07-01T06:57:28.060000,2024-07-01_125,,AM,True,R50D6,2024-07-01T06:57:28.060000,,,,,
,,,2024-07-01,,,Detection,,,0.2859408259391784,False,,2024-07-01T07:02:22.240000,2024-07-01_126,,AM,True,R50D6,2024-07-01T07:02:22.240000,,,,,
,,,2024-07-01,,,Detection,,,0.92301207780838,False,,2024-07-01T07:03:39,2024-07-01_127,,AM,True,R50D6,2024-07-01T07:03:39,,,,,
,,,2024-07-01,,,Detection,,,0.5720937252044678,False,,2024-07-01T07:04:08.980000,2024-07-01_128,,AM,True,R50D6,2024-07-01T07:04:08.980000,,,,,
,,,2024-07-01,,,Detection,,,0.3072038292884826,False,,2024-07-01T07:05:18,2024-07-01_129,,AM,True,R50D6,2024-07-01T07:05:18,,,,,
,,,2024-07-01,,,Detection,,,0.3312718272209167,False,,2024-07-01T07:05:53.060000,2024-07-01_130,,AM,True,R50D6,2024-07-01T07:05:53.060000,,,,,
,,,2024-07-01,,,Detection,,,0.4527263343334198,False,,2024-07-01T07:05:54.030000,2024-07-01_131,,AM,True,R50D6,2024-07-01T07:05:54.030000,,,,,
,,,2024-07-01,,,Detection,,,0.7586461305618286,False,,2024-07-01T07:07:23.970000,2024-07-01_132,,AM,True,R50D6,2024-07-01T07:07:23.970000,,,,,
,,,2024-07-01,,,Detection,,,0.2607650756835937,False,,2024-07-01T07:07:41.780000,2024-07-01_133,,AM,True,R50D6,2024-07-01T07:07:41.780000,,,,,
,,,2024-07-01,,,Detection,,,0.3874141573905945,False,,2024-07-01T07:10:05,2024-07-01_134,,AM,True,R50D6,2024-07-01T07:10:05,,,,,
,,,2024-07-01,,,Detection,,,0.2122585177421569,False,,2024-07-01T07:10:06.990000,2024-07-01_135,,AM,True,R50D6,2024-07-01T07:10:06.990000,,,,,
,,,2024-07-01,,,Detection,,,0.520377516746521,False,,2024-07-01T07:11:06,2024-07-01_136,,AM,True,R50D6,2024-07-01T07:11:06,,,,,
,,,2024-07-01,,,Detection,,,0.4807567298412323,False,,2024-07-01T07:14:07.220000,2024-07-01_137,,AM,True,R50D6,2024-07-01T07:14:07.220000,,,,,
,,,2024-07-01,,,Detection,,,0.7389729022979736,False,,2024-07-01T07:17:51.950000,2024-07-01_138,,AM,True,R50D6,2024-07-01T07:17:51.950000,,,,,
,,,2024-07-01,,,Detection,,,0.4022399485111236,False,,2024-07-01T07:21:20.560000,2024-07-01_139,,AM,True,R50D6,2024-07-01T07:21:20.560000,,,,,
,,,2024-07-01,,,Detection,,,,False,,,2024-07-01_140,,AM,True,R50D6,2024-07-01T07:21:20.910000,,,,,
,,,2024-07-01,,,Detection,,,0.2310321629047393,False,,2024-07-01T07:22:28.090000,2024-07-01_141,,AM,True,R50D6,2024-07-01T07:22:28.090000,,,,,
,,,2024-07-01,,,Detection,,,0.5579239726066589,False,,2024-07-01T07:25:08.410000,2024-07-01_142,,AM,True,R50D6,2024-07-01T07:25:08.410000,,,,,
,,,2024-07-01,,,Detection,,,0.3900336325168609,False,,2024-07-01T07:26:42.230000,2024-07-01_143,,AM,True,R50D6,2024-07-01T07:26:42.230000,,,,,
,,,2024-07-01,,,Detection,,,0.2280542254447937,False,,2024-07-01T07:28:22.140000,2024-07-01_144,,AM,True,R50D6,2024-07-01T07:28:22.140000,,,,,
,,,2024-07-01,,,Detection,,,0.6083452105522156,False,,2024-07-01T07:34:36,2024-07-01_145,,AM,True,R50D6,2024-07-01T07:34:36,,,,,
,,,2024-07-01,,,Detection,,,0.6240103244781494,False,,2024-07-01T07:39:33.190000,2024-07-01_146,,AM,True,R50D6,2024-07-01T07:39:33.190000,,,,,
,,,2024-07-01,,,Detection,,,0.2925368249416351,False,,2024-07-01T07:39:52.310000,2024-07-01_147,,AM,True,R50D6,2024-07-01T07:39:52.310000,,,,,
,,,2024-07-01,,,Detection,,,0.8826185464859009,False,,2024-07-01T07:43:06.010000,2024-07-01_148,,AM,True,R50D6,2024-07-01T07:43:06.010000,,,,,
,,,2024-07-01,,,Detection,,,0.2117918878793716,False,,2024-07-01T07:43:45.810000,2024-07-01_149,,AM,True,R50D6,2024-07-01T07:43:45.810000,,,,,
,,,2024-07-01,,,Detection,,,0.8409198522567749,False,,2024-07-01T07:44:52.030000,2024-07-01_150,,AM,True,R50D6,2024-07-01T07:44:52.030000,,,,,
,,,2024-07-01,,,Detection,,,0.4912039935588836,False,,2024-07-01T07:45:23.490000,2024-07-01_151,,AM,True,R50D6,2024-07-01T07:45:23.490000,,,,,
,,,2024-07-01,,,Detection,,,,False,,,2024-07-01_152,,AM,True,R50D6,2024-07-01T07:45:24.530000,,,,,
,,,2024-07-01,,,Detection,,,0.3959769308567047,False,,2024-07-01T07:46:05,2024-07-01_153,,AM,True,R50D6,2024-07-01T07:46:05,,,,,
,,,2024-07-01,,,Detection,,,0.7427014112472534,False,,2024-07-01T07:47:15.970000,2024-07-01_154,,AM,True,R50D6,2024-07-01T07:47:15.970000,,,,,
