s_predicted,mag,network,code,p_detected,s_confidence,epi_distance,catalogued,provider,depth,unique_id,long,time,detected,p_error,mag_type,p_confidence,s_detected,event_id,p_predicted,date,plot_path,s_error,lat
,,AM,R50D6,2024-08-23T03:29:35.980000,,,False,Detection,,2024-08-23_79,,2024-08-23T03:29:35.980000,True,,,0.2440508306026458,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:30:38.990000,,,False,Detection,,2024-08-23_80,,2024-08-23T03:30:38.990000,True,,,0.2011410742998123,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:40:23.150000,,,False,Detection,,2024-08-23_81,,2024-08-23T03:40:23.150000,True,,,0.4785265028476715,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:40:54.750000,,,False,Detection,,2024-08-23_82,,2024-08-23T03:40:54.750000,True,,,0.1689382791519165,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:47:08.010000,,,False,Detection,,2024-08-23_83,,2024-08-23T03:47:08.010000,True,,,0.5964372158050537,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:47:09,,,False,Detection,,2024-08-23_84,,2024-08-23T03:47:09,True,,,0.1400892287492752,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:50:51.020000,,,False,Detection,,2024-08-23_85,,2024-08-23T03:50:51.020000,True,,,0.1086584702134132,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:55:52.090000,,,False,Detection,,2024-08-23_86,,2024-08-23T03:55:52.090000,True,,,0.1930760592222213,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T03:58:10.030000,,,False,Detection,,2024-08-23_87,,2024-08-23T03:58:10.030000,True,,,0.5290547609329224,,,,2024-08-23,,,
,,AM,R50D6,,,,False,Detection,,2024-08-23_88,,2024-08-23T03:58:10.800000,True,,,,,,,2024-08-23,,,
