detected,mag,network,date,p_error,long,s_detected,mag_type,depth,s_confidence,time,provider,event_id,p_predicted,code,s_error,epi_distance,p_confidence,s_predicted,catalogued,lat,unique_id,p_detected,plot_path
True,,AM,2024-08-23,,,,,,,2024-08-23T05:48:32.170000,Detection,,,R50D6,,,0.4581848680973053,,False,,2024-08-23_102,2024-08-23T05:48:32.170000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:48:32.520000,Detection,,,R50D6,,,,,False,,2024-08-23_103,,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:48:54.160000,Detection,,,R50D6,,,0.6738490462303162,,False,,2024-08-23_104,2024-08-23T05:48:54.160000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:48:54.420000,Detection,,,R50D6,,,,,False,,2024-08-23_105,,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:50:22.110000,Detection,,,R50D6,,,0.416629821062088,,False,,2024-08-23_106,2024-08-23T05:50:22.110000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:52:26.240000,Detection,,,R50D6,,,0.8249998092651367,,False,,2024-08-23_107,2024-08-23T05:52:26.240000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:52:56.970000,Detection,,,R50D6,,,0.8334150910377502,,False,,2024-08-23_108,2024-08-23T05:52:56.970000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:54:10.830000,Detection,,,R50D6,,,0.6210201382637024,,False,,2024-08-23_109,2024-08-23T05:54:10.830000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:55:30.690000,Detection,,,R50D6,,,0.5458056926727295,,False,,2024-08-23_110,2024-08-23T05:55:30.690000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:55:53.990000,Detection,,,R50D6,,,0.2110475450754165,,False,,2024-08-23_111,2024-08-23T05:55:53.990000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:58:03.880000,Detection,,,R50D6,,,0.4615821838378906,,False,,2024-08-23_112,2024-08-23T05:58:03.880000,
True,,AM,2024-08-23,,,,,,,2024-08-23T05:59:11.980000,Detection,,,R50D6,,,0.6869409680366516,,False,,2024-08-23_113,2024-08-23T05:59:11.980000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:02:13.150000,Detection,,,R50D6,,,0.6239530444145203,,False,,2024-08-23_114,2024-08-23T06:02:13.150000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:05:01.990000,Detection,,,R50D6,,,0.6823288798332214,,False,,2024-08-23_115,2024-08-23T06:05:01.990000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:07:35.980000,Detection,,,R50D6,,,0.2138118594884872,,False,,2024-08-23_116,2024-08-23T06:07:35.980000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:07:36.980000,Detection,,,R50D6,,,0.2109110653400421,,False,,2024-08-23_117,2024-08-23T06:07:36.980000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:08:06.980000,Detection,,,R50D6,,,0.2865420579910278,,False,,2024-08-23_118,2024-08-23T06:08:06.980000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:08:07.970000,Detection,,,R50D6,,,0.2365691363811493,,False,,2024-08-23_119,2024-08-23T06:08:07.970000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:11:36.010000,Detection,,,R50D6,,,0.8951411247253418,,False,,2024-08-23_120,2024-08-23T06:11:36.010000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:17:38.560000,Detection,,,R50D6,,,0.5429345965385437,,False,,2024-08-23_121,2024-08-23T06:17:38.560000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:18:01.070000,Detection,,,R50D6,,,0.6125131845474243,,False,,2024-08-23_122,2024-08-23T06:18:01.070000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:18:38,Detection,,,R50D6,,,0.4187429845333099,,False,,2024-08-23_123,2024-08-23T06:18:38,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:23:18.970000,Detection,,,R50D6,,,0.3425979912281036,,False,,2024-08-23_124,2024-08-23T06:23:18.970000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:26:25.780000,Detection,,,R50D6,,,0.7320002317428589,,False,,2024-08-23_125,2024-08-23T06:26:25.780000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:26:26.300000,Detection,,,R50D6,,,,,False,,2024-08-23_126,,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:27:06.020000,Detection,,,R50D6,,,0.6920270919799805,,False,,2024-08-23_127,2024-08-23T06:27:06.020000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:28:23,Detection,,,R50D6,,,0.6206567287445068,,False,,2024-08-23_128,2024-08-23T06:28:23,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:29:20.040000,Detection,,,R50D6,,,0.8843703269958496,,False,,2024-08-23_129,2024-08-23T06:29:20.040000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:30:39,Detection,,,R50D6,,,0.8769389986991882,,False,,2024-08-23_130,2024-08-23T06:30:39,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:31:25.020000,Detection,,,R50D6,,,0.8881336450576782,,False,,2024-08-23_131,2024-08-23T06:31:25.020000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:31:25.600000,Detection,,,R50D6,,,,,False,,2024-08-23_132,,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:32:35,Detection,,,R50D6,,,0.4416654407978058,,False,,2024-08-23_133,2024-08-23T06:32:35,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:32:35.990000,Detection,,,R50D6,,,0.3731890320777893,,False,,2024-08-23_134,2024-08-23T06:32:35.990000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:34:19.040000,Detection,,,R50D6,,,0.7282018661499023,,False,,2024-08-23_135,2024-08-23T06:34:19.040000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:37:20.020000,Detection,,,R50D6,,,0.6152058839797974,,False,,2024-08-23_136,2024-08-23T06:37:20.020000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:37:20.310000,Detection,,,R50D6,,,,,False,,2024-08-23_137,,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:37:45.140000,Detection,,,R50D6,,,0.420381635427475,,False,,2024-08-23_138,2024-08-23T06:37:45.140000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:37:46.670000,Detection,,,R50D6,,,,,False,,2024-08-23_139,,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:38:37.060000,Detection,,,R50D6,,,0.5022830367088318,,False,,2024-08-23_140,2024-08-23T06:38:37.060000,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:48:20,Detection,,,R50D6,,,0.2034134119749069,,False,,2024-08-23_141,2024-08-23T06:48:20,
True,,AM,2024-08-23,,,,,,,2024-08-23T06:48:21.030000,Detection,,,R50D6,,,0.2043528258800506,,False,,2024-08-23_142,2024-08-23T06:48:21.030000,
