long,date,time,s_error,p_detected,unique_id,mag_type,s_confidence,catalogued,plot_path,p_error,lat,depth,event_id,s_detected,epi_distance,mag,s_predicted,code,detected,provider,p_confidence,p_predicted,network
,2024-08-23,2024-08-23T05:45:20.530000,,,2024-08-23_101,,,False,,,,,,,,,,R50D6,True,Detection,,,AM
,2024-08-23,2024-08-23T05:48:32.170000,,2024-08-23T05:48:32.170000,2024-08-23_102,,,False,,,,,,,,,,R50D6,True,Detection,0.4581848680973053,,AM
,2024-08-23,2024-08-23T05:48:32.520000,,,2024-08-23_103,,,False,,,,,,,,,,R50D6,True,Detection,,,AM
,2024-08-23,2024-08-23T05:48:54.160000,,2024-08-23T05:48:54.160000,2024-08-23_104,,,False,,,,,,,,,,R50D6,True,Detection,0.6738490462303162,,AM
,2024-08-23,2024-08-23T05:48:54.420000,,,2024-08-23_105,,,False,,,,,,,,,,R50D6,True,Detection,,,AM
,2024-08-23,2024-08-23T05:50:22.110000,,2024-08-23T05:50:22.110000,2024-08-23_106,,,False,,,,,,,,,,R50D6,True,Detection,0.416629821062088,,AM
,2024-08-23,2024-08-23T05:52:26.240000,,2024-08-23T05:52:26.240000,2024-08-23_107,,,False,,,,,,,,,,R50D6,True,Detection,0.8249998092651367,,AM
,2024-08-23,2024-08-23T05:52:56.970000,,2024-08-23T05:52:56.970000,2024-08-23_108,,,False,,,,,,,,,,R50D6,True,Detection,0.8334150910377502,,AM
,2024-08-23,2024-08-23T05:54:10.830000,,2024-08-23T05:54:10.830000,2024-08-23_109,,,False,,,,,,,,,,R50D6,True,Detection,0.6210201382637024,,AM
,2024-08-23,2024-08-23T05:55:30.690000,,2024-08-23T05:55:30.690000,2024-08-23_110,,,False,,,,,,,,,,R50D6,True,Detection,0.5458056926727295,,AM
,2024-08-23,2024-08-23T05:55:53.990000,,2024-08-23T05:55:53.990000,2024-08-23_111,,,False,,,,,,,,,,R50D6,True,Detection,0.2110475450754165,,AM
,2024-08-23,2024-08-23T05:58:03.880000,,2024-08-23T05:58:03.880000,2024-08-23_112,,,False,,,,,,,,,,R50D6,True,Detection,0.4615821838378906,,AM
,2024-08-23,2024-08-23T05:59:11.980000,,2024-08-23T05:59:11.980000,2024-08-23_113,,,False,,,,,,,,,,R50D6,True,Detection,0.6869409680366516,,AM
,2024-08-23,2024-08-23T06:02:13.150000,,2024-08-23T06:02:13.150000,2024-08-23_114,,,False,,,,,,,,,,R50D6,True,Detection,0.6239530444145203,,AM
,2024-08-23,2024-08-23T06:05:01.990000,,2024-08-23T06:05:01.990000,2024-08-23_115,,,False,,,,,,,,,,R50D6,True,Detection,0.6823288798332214,,AM
,2024-08-23,2024-08-23T06:07:35.980000,,2024-08-23T06:07:35.980000,2024-08-23_116,,,False,,,,,,,,,,R50D6,True,Detection,0.2138118594884872,,AM
,2024-08-23,2024-08-23T06:07:36.980000,,2024-08-23T06:07:36.980000,2024-08-23_117,,,False,,,,,,,,,,R50D6,True,Detection,0.2109110653400421,,AM
,2024-08-23,2024-08-23T06:08:06.980000,,2024-08-23T06:08:06.980000,2024-08-23_118,,,False,,,,,,,,,,R50D6,True,Detection,0.2865420579910278,,AM
,2024-08-23,2024-08-23T06:08:07.970000,,2024-08-23T06:08:07.970000,2024-08-23_119,,,False,,,,,,,,,,R50D6,True,Detection,0.2365691363811493,,AM
,2024-08-23,2024-08-23T06:11:36.010000,,2024-08-23T06:11:36.010000,2024-08-23_120,,,False,,,,,,,,,,R50D6,True,Detection,0.8951411247253418,,AM
,2024-08-23,2024-08-23T06:17:38.560000,,2024-08-23T06:17:38.560000,2024-08-23_121,,,False,,,,,,,,,,R50D6,True,Detection,0.5429345965385437,,AM
,2024-08-23,2024-08-23T06:18:01.070000,,2024-08-23T06:18:01.070000,2024-08-23_122,,,False,,,,,,,,,,R50D6,True,Detection,0.6125131845474243,,AM
,2024-08-23,2024-08-23T06:18:38,,2024-08-23T06:18:38,2024-08-23_123,,,False,,,,,,,,,,R50D6,True,Detection,0.4187429845333099,,AM
,2024-08-23,2024-08-23T06:23:18.970000,,2024-08-23T06:23:18.970000,2024-08-23_124,,,False,,,,,,,,,,R50D6,True,Detection,0.3425979912281036,,AM
,2024-08-23,2024-08-23T06:26:25.780000,,2024-08-23T06:26:25.780000,2024-08-23_125,,,False,,,,,,,,,,R50D6,True,Detection,0.7320002317428589,,AM
,2024-08-23,2024-08-23T06:26:26.300000,,,2024-08-23_126,,,False,,,,,,,,,,R50D6,True,Detection,,,AM
