s_detected,event_id,mag,provider,s_error,lat,date,long,p_detected,s_predicted,depth,s_confidence,p_confidence,p_error,code,time,network,unique_id,epi_distance,catalogued,detected,mag_type,plot_path,p_predicted
,,,Detection,,,2024-08-16,,2024-08-16T04:11:38,,,,0.6171808838844299,,R50D6,2024-08-16T04:11:38,AM,2024-08-16_105,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T04:36:07.980000,,,,0.4900808036327362,,R50D6,2024-08-16T04:36:07.980000,AM,2024-08-16_106,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T04:36:50.900000,,,,0.2056981176137924,,R50D6,2024-08-16T04:36:50.900000,AM,2024-08-16_107,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T04:52:50.670000,,,,0.169368714094162,,R50D6,2024-08-16T04:52:50.670000,AM,2024-08-16_108,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T04:53:52.180000,,,,0.3686012029647827,,R50D6,2024-08-16T04:53:52.180000,AM,2024-08-16_109,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T04:55:26.090000,,,,0.1179412752389907,,R50D6,2024-08-16T04:55:26.090000,AM,2024-08-16_110,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T04:56:23.990000,,,,0.6655211448669434,,R50D6,2024-08-16T04:56:23.990000,AM,2024-08-16_111,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T04:56:24.920000,,,,0.2533876597881317,,R50D6,2024-08-16T04:56:24.920000,AM,2024-08-16_112,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:02:23.030000,,,,0.1945581585168838,,R50D6,2024-08-16T05:02:23.030000,AM,2024-08-16_113,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:02:27.140000,,,,0.1170041263103485,,R50D6,2024-08-16T05:02:27.140000,AM,2024-08-16_114,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:03:53.070000,,,,0.1477216482162475,,R50D6,2024-08-16T05:03:53.070000,AM,2024-08-16_115,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:16:47.720000,,,,0.2077739238739013,,R50D6,2024-08-16T05:16:47.720000,AM,2024-08-16_116,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:18:22.990000,,,,0.330845445394516,,R50D6,2024-08-16T05:18:22.990000,AM,2024-08-16_117,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:22:23.020000,,,,0.686018705368042,,R50D6,2024-08-16T05:22:23.020000,AM,2024-08-16_118,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:28:53.230000,,,,0.1425962448120117,,R50D6,2024-08-16T05:28:53.230000,AM,2024-08-16_119,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:29:40.250000,,,,0.5328157544136047,,R50D6,2024-08-16T05:29:40.250000,AM,2024-08-16_120,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:31:37.970000,,,,0.1320822536945343,,R50D6,2024-08-16T05:31:37.970000,AM,2024-08-16_121,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:33:11.860000,,,,0.1832205504179,,R50D6,2024-08-16T05:33:11.860000,AM,2024-08-16_122,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:34:42.020000,,,,0.7840298414230347,,R50D6,2024-08-16T05:34:42.020000,AM,2024-08-16_123,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:35:20.610000,,,,0.5626756548881531,,R50D6,2024-08-16T05:35:20.610000,AM,2024-08-16_124,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:39:05.970000,,,,0.1309770196676254,,R50D6,2024-08-16T05:39:05.970000,AM,2024-08-16_125,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:39:06.970000,,,,0.2123278230428695,,R50D6,2024-08-16T05:39:06.970000,AM,2024-08-16_126,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:39:07.950000,,,,0.1684107035398483,,R50D6,2024-08-16T05:39:07.950000,AM,2024-08-16_127,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:39:09.980000,,,,0.1038360893726348,,R50D6,2024-08-16T05:39:09.980000,AM,2024-08-16_128,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:41:21.850000,,,,0.6684635281562805,,R50D6,2024-08-16T05:41:21.850000,AM,2024-08-16_129,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:42:23.730000,,,,0.2546864449977875,,R50D6,2024-08-16T05:42:23.730000,AM,2024-08-16_130,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:44:40.900000,,,,0.1325257718563079,,R50D6,2024-08-16T05:44:40.900000,AM,2024-08-16_131,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:45:17.200000,,,,0.8262999653816223,,R50D6,2024-08-16T05:45:17.200000,AM,2024-08-16_132,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:47:05.990000,,,,0.3665006160736084,,R50D6,2024-08-16T05:47:05.990000,AM,2024-08-16_133,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T05:57:52.090000,,,,0.5476295351982117,,R50D6,2024-08-16T05:57:52.090000,AM,2024-08-16_134,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:00:36.430000,,,,0.1372195482254028,,R50D6,2024-08-16T06:00:36.430000,AM,2024-08-16_135,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:05:53,,,,0.5928738117218018,,R50D6,2024-08-16T06:05:53,AM,2024-08-16_136,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:24:25.290000,,,,0.2189589738845825,,R50D6,2024-08-16T06:24:25.290000,AM,2024-08-16_137,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:26:53.010000,,,,0.1044257581233978,,R50D6,2024-08-16T06:26:53.010000,AM,2024-08-16_138,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:28:07.030000,,,,0.7520501613616943,,R50D6,2024-08-16T06:28:07.030000,AM,2024-08-16_139,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:36:05,,,,0.4976526498794555,,R50D6,2024-08-16T06:36:05,AM,2024-08-16_140,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:36:05.990000,,,,0.2330983430147171,,R50D6,2024-08-16T06:36:05.990000,AM,2024-08-16_141,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:37:42.190000,,,,0.2530290484428406,,R50D6,2024-08-16T06:37:42.190000,AM,2024-08-16_142,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:39:33.410000,,,,0.1972796022891998,,R50D6,2024-08-16T06:39:33.410000,AM,2024-08-16_143,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:42:41.520000,,,,0.6606267690658569,,R50D6,2024-08-16T06:42:41.520000,AM,2024-08-16_144,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:47:34.470000,,,,0.6984922289848328,,R50D6,2024-08-16T06:47:34.470000,AM,2024-08-16_145,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:49:03.150000,,,,0.1109003946185112,,R50D6,2024-08-16T06:49:03.150000,AM,2024-08-16_146,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:49:05,,,,0.1405498534440994,,R50D6,2024-08-16T06:49:05,AM,2024-08-16_147,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:55:40,,,,0.1507426351308822,,R50D6,2024-08-16T06:55:40,AM,2024-08-16_148,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T06:56:12.800000,,,,0.3768666982650757,,R50D6,2024-08-16T06:56:12.800000,AM,2024-08-16_149,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T07:04:37.170000,,,,0.2834757268428802,,R50D6,2024-08-16T07:04:37.170000,AM,2024-08-16_150,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T07:08:52.900000,,,,0.5029481649398804,,R50D6,2024-08-16T07:08:52.900000,AM,2024-08-16_151,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T07:09:17.870000,,,,0.3061578571796417,,R50D6,2024-08-16T07:09:17.870000,AM,2024-08-16_152,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T07:09:43.390000,,,,0.1480816006660461,,R50D6,2024-08-16T07:09:43.390000,AM,2024-08-16_153,,False,True,,,
