unique_id,detected,s_predicted,network,event_id,lat,plot_path,depth,mag,code,s_confidence,date,s_detected,mag_type,p_detected,long,s_error,catalogued,time,p_error,provider,p_confidence,p_predicted,epi_distance
2024-08-23_104,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T08:24:57.940000,,Detection,,,
2024-08-23_105,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:29:05.010000,,,False,2024-08-23T08:29:05.010000,,Detection,0.7137696743011475,,
2024-08-23_106,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:30:35,,,False,2024-08-23T08:30:35,,Detection,0.801159679889679,,
2024-08-23_107,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:36:07.030000,,,False,2024-08-23T08:36:07.030000,,Detection,0.5466753244400024,,
2024-08-23_108,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:37:42.010000,,,False,2024-08-23T08:37:42.010000,,Detection,0.8034825921058655,,
2024-08-23_109,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:38:05.170000,,,False,2024-08-23T08:38:05.170000,,Detection,0.728078305721283,,
2024-08-23_110,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T08:38:05.660000,,Detection,,,
2024-08-23_111,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:43:37.980000,,,False,2024-08-23T08:43:37.980000,,Detection,0.6717034578323364,,
2024-08-23_112,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:45:50.970000,,,False,2024-08-23T08:45:50.970000,,Detection,0.6927245259284973,,
2024-08-23_113,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:46:18.820000,,,False,2024-08-23T08:46:18.820000,,Detection,0.5761368870735168,,
2024-08-23_114,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:47:05.020000,,,False,2024-08-23T08:47:05.020000,,Detection,0.7895296216011047,,
2024-08-23_115,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:47:28.360000,,,False,2024-08-23T08:47:28.360000,,Detection,0.6361194849014282,,
2024-08-23_116,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:57:05.010000,,,False,2024-08-23T08:57:05.010000,,Detection,0.7622516751289368,,
2024-08-23_117,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T08:59:26.680000,,,False,2024-08-23T08:59:26.680000,,Detection,0.6870154142379761,,
2024-08-23_118,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:06:42.770000,,,False,2024-08-23T09:06:42.770000,,Detection,0.6980746388435364,,
2024-08-23_119,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:09:07.010000,,,False,2024-08-23T09:09:07.010000,,Detection,0.602495014667511,,
2024-08-23_120,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:10:37,,,False,2024-08-23T09:10:37,,Detection,0.7247982621192932,,
2024-08-23_121,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T09:11:07,,,False,2024-08-23T09:11:07,,Detection,0.7972590327262878,,
