unique_id,p_error,network,s_confidence,p_predicted,p_detected,s_predicted,code,lat,plot_path,epi_distance,mag_type,provider,p_confidence,detected,catalogued,s_error,long,date,time,s_detected,mag,event_id,depth
2024-08-24_80,,AM,,2024-08-24T18:58:14.718037,,2024-08-24T19:05:35.992723,R50D6,36.64,,5697.993158979482,mb,EMSC,,False,True,,71.0217,2024-08-24,2024-08-24T18:49:08.555000,,4.2,quakeml:eu.emsc/event/20240824_0000250,219.3
2024-08-24_81,,AM,,2024-08-24T18:45:19.736823,,2024-08-24T18:47:30.331808,R50D6,43.6592,,1279.6221412787934,ml,EMSC,,False,True,,-6.211,2024-08-24,2024-08-24T18:42:34.140000,,2.1,quakeml:eu.emsc/event/20240824_0000206,11.0
2024-08-24_82,-21.28339,AM,,2024-08-24T18:44:13.133390,2024-08-24T18:43:51.850000,2024-08-24T18:46:29.067099,R50D6,45.8182,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_82_event_plot.png?raw=true,1332.925135055504,ml,EMSC,0.5240586400032043,True,True,,11.0083,2024-08-24,2024-08-24T18:41:20.780000,,0.7,quakeml:eu.emsc/event/20240824_0000203,18.0
2024-08-24_83,,AM,,2024-08-24T18:50:31.137215,,2024-08-24T19:00:39.749995,R50D6,18.39,,8944.264485335054,m,EMSC,,False,True,,-101.19,2024-08-24,2024-08-24T18:38:17,,3.9,quakeml:eu.emsc/event/20240824_0000279,79.2
2024-08-24_84,,AM,,2024-08-24T18:37:25.750447,,2024-08-24T18:42:29.986124,R50D6,37.8064,,3398.5650146871844,ml,EMSC,,False,True,,36.1972,2024-08-24,2024-08-24T18:31:10,,1.4,quakeml:eu.emsc/event/20240824_0000213,7.1
2024-08-24_85,,AM,,2024-08-24T18:16:22.312177,,2024-08-24T18:18:34.492029,R50D6,43.1114,,1296.2198277914586,ml,EMSC,,False,True,,-1.1685,2024-08-24,2024-08-24T18:13:34.710000,,1.5,quakeml:eu.emsc/event/20240824_0000201,0.0
2024-08-24_86,,AM,,2024-08-24T18:10:47.321307,,2024-08-24T18:20:21.632424,R50D6,38.8043,,8207.179051609659,md,EMSC,,False,True,,-122.779,2024-08-24,2024-08-24T17:59:09.860000,,2.0,quakeml:eu.emsc/event/20240824_0000199,1.1
2024-08-24_87,,AM,,2024-08-24T17:34:19.869678,,2024-08-24T17:38:00.180883,R50D6,37.285,,1944.394696601566,ml,EMSC,,False,True,,-2.2088,2024-08-24,2024-08-24T17:30:12.800000,,1.7,quakeml:eu.emsc/event/20240824_0000200,21.5
2024-08-24_88,,AM,,2024-08-24T17:37:49.440047,,2024-08-24T17:47:51.711467,R50D6,15.37,,8809.06445613007,m,EMSC,,False,True,,-94.6,2024-08-24,2024-08-24T17:25:42,,3.5,quakeml:eu.emsc/event/20240824_0000280,16.0
2024-08-24_89,,AM,,2024-08-24T17:17:26.124800,,2024-08-24T17:21:16.933481,R50D6,45.6592,,2220.5384464805934,ml,EMSC,,False,True,,26.5364,2024-08-24,2024-08-24T17:12:46.100000,,3.4,quakeml:eu.emsc/event/20240824_0000190,144.6
2024-08-24_90,-16.753844,AM,,2024-08-24T17:21:28.923844,2024-08-24T17:21:12.170000,2024-08-24T17:31:23.185782,R50D6,8.916,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_90_event_plot.png?raw=true,8643.340395843597,m,EMSC,0.5516803860664368,True,True,,-82.893,2024-08-24,2024-08-24T17:09:30,,3.1,quakeml:eu.emsc/event/20240824_0000195,22.0
2024-08-24_91,6.160114,AM,,2024-08-24T17:04:58.839886,2024-08-24T17:05:05,2024-08-24T17:10:03.144609,R50D6,37.8639,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_91_event_plot.png?raw=true,3399.655334114942,ml,EMSC,0.1114867553114891,True,True,,36.2903,2024-08-24,2024-08-24T16:58:43,,1.9,quakeml:eu.emsc/event/20240824_0000197,7.0
2024-08-24_92,,AM,,2024-08-24T16:57:05.654452,,2024-08-24T17:01:00.609495,R50D6,37.9958,,2282.862394093632,ml,EMSC,,False,True,,15.9138,2024-08-24,2024-08-24T16:52:20.620000,,2.6,quakeml:eu.emsc/event/20240824_0000188,32.2
2024-08-24_93,0.467109,AM,,2024-08-24T16:55:27.752891,2024-08-24T16:55:28.220000,2024-08-24T17:05:20.917575,R50D6,11.039,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_93_event_plot.png?raw=true,8618.19555601659,m,EMSC,0.1221818625926971,True,True,,-85.484,2024-08-24,2024-08-24T16:43:30,,3.0,quakeml:eu.emsc/event/20240824_0000196,11.0
2024-08-24_94,5.785438,AM,,2024-08-24T16:52:05.344562,2024-08-24T16:52:11.130000,2024-08-24T17:02:00.942800,R50D6,16.82,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_94_event_plot.png?raw=true,8665.441212651083,m,EMSC,0.6896963119506836,True,True,,-94.39,2024-08-24,2024-08-24T16:40:05,,3.5,quakeml:eu.emsc/event/20240824_0000281,131.4
2024-08-24_95,,AM,,2024-08-24T16:37:17.859017,,2024-08-24T16:46:08.835071,R50D6,44.4063,,7342.392097090971,ml,EMSC,,False,True,,-115.2093,2024-08-24,2024-08-24T16:26:28.170000,,2.3,quakeml:eu.emsc/event/20240824_0000210,6.1
2024-08-24_96,,AM,,2024-08-24T16:23:04.881228,,2024-08-24T16:25:29.997475,R50D6,42.4018,,1429.2806055265166,ml,EMSC,,False,True,,-6.9267,2024-08-24,2024-08-24T16:20:00.890000,,1.5,quakeml:eu.emsc/event/20240824_0000186,0.0
2024-08-24_97,,AM,,2024-08-24T16:30:55.145468,,2024-08-24T16:41:07.565945,R50D6,16.85,,9028.493862246263,m,EMSC,,False,True,,-100.28,2024-08-24,2024-08-24T16:18:37,,3.1,quakeml:eu.emsc/event/20240824_0000282,10.3
2024-08-24_98,,AM,,2024-08-24T15:34:31.013949,,2024-08-24T15:39:04.638776,R50D6,37.54,,2616.4734438422224,ml,EMSC,,False,True,,22.05,2024-08-24,2024-08-24T15:29:17,,2.2,quakeml:eu.emsc/event/20240824_0000180,5.0
2024-08-24_99,,AM,,2024-08-24T15:18:33.538286,,2024-08-24T15:20:50.676142,R50D6,45.8625,,1345.2447921041853,ml,EMSC,,False,True,,11.3517,2024-08-24,2024-08-24T15:15:39.660000,,0.8,quakeml:eu.emsc/event/20240824_0000178,18.0
2024-08-24_100,,AM,,2024-08-24T15:24:33.801689,,2024-08-24T15:35:25.725831,R50D6,-16.951,,9963.7957912173,m,EMSC,,False,True,,-65.204,2024-08-24,2024-08-24T15:11:35,,3.3,quakeml:eu.emsc/event/20240824_0000183,9.4
2024-08-24_101,,AM,,2024-08-24T15:09:57.519299,,2024-08-24T15:14:38.557241,R50D6,39.1231,,3098.4373167230688,ml,EMSC,,False,True,,32.9822,2024-08-24,2024-08-24T15:04:01,,1.5,quakeml:eu.emsc/event/20240824_0000191,6.5
