depth,s_predicted,date,p_detected,s_error,network,detected,catalogued,epi_distance,provider,s_confidence,long,p_predicted,p_confidence,lat,time,code,p_error,mag,event_id,s_detected,plot_path,mag_type,unique_id
,,2024-08-23,2024-08-23T09:26:39.980000,,AM,True,False,,Detection,,,,0.7007820010185242,,2024-08-23T09:26:39.980000,R50D6,,,,,,,2024-08-23_128
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T09:26:41.090000,R50D6,,,,,,,2024-08-23_129
,,2024-08-23,2024-08-23T09:29:43.390000,,AM,True,False,,Detection,,,,0.5045034885406494,,2024-08-23T09:29:43.390000,R50D6,,,,,,,2024-08-23_130
,,2024-08-23,2024-08-23T09:30:47.270000,,AM,True,False,,Detection,,,,0.7822582125663757,,2024-08-23T09:30:47.270000,R50D6,,,,,,,2024-08-23_131
,,2024-08-23,2024-08-23T09:34:53.060000,,AM,True,False,,Detection,,,,0.5962287187576294,,2024-08-23T09:34:53.060000,R50D6,,,,,,,2024-08-23_132
,,2024-08-23,2024-08-23T09:45:37.010000,,AM,True,False,,Detection,,,,0.6338877081871033,,2024-08-23T09:45:37.010000,R50D6,,,,,,,2024-08-23_133
,,2024-08-23,2024-08-23T09:48:07.980000,,AM,True,False,,Detection,,,,0.5714757442474365,,2024-08-23T09:48:07.980000,R50D6,,,,,,,2024-08-23_134
,,2024-08-23,2024-08-23T09:49:53.110000,,AM,True,False,,Detection,,,,0.5663305521011353,,2024-08-23T09:49:53.110000,R50D6,,,,,,,2024-08-23_135
,,2024-08-23,2024-08-23T10:06:51.040000,,AM,True,False,,Detection,,,,0.7670590281486511,,2024-08-23T10:06:51.040000,R50D6,,,,,,,2024-08-23_136
,,2024-08-23,2024-08-23T10:07:26.070000,,AM,True,False,,Detection,,,,0.6387986540794373,,2024-08-23T10:07:26.070000,R50D6,,,,,,,2024-08-23_137
,,2024-08-23,2024-08-23T10:08:40.910000,,AM,True,False,,Detection,,,,0.5910692811012268,,2024-08-23T10:08:40.910000,R50D6,,,,,,,2024-08-23_138
,,2024-08-23,2024-08-23T10:09:18.370000,,AM,True,False,,Detection,,,,0.6368356943130493,,2024-08-23T10:09:18.370000,R50D6,,,,,,,2024-08-23_139
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T10:09:18.830000,R50D6,,,,,,,2024-08-23_140
,,2024-08-23,2024-08-23T10:10:02.900000,,AM,True,False,,Detection,,,,0.6134840250015259,,2024-08-23T10:10:02.900000,R50D6,,,,,,,2024-08-23_141
,,2024-08-23,2024-08-23T10:11:21.070000,,AM,True,False,,Detection,,,,0.505541980266571,,2024-08-23T10:11:21.070000,R50D6,,,,,,,2024-08-23_142
,,2024-08-23,2024-08-23T10:18:55.540000,,AM,True,False,,Detection,,,,0.7006250619888306,,2024-08-23T10:18:55.540000,R50D6,,,,,,,2024-08-23_143
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T10:18:56.020000,R50D6,,,,,,,2024-08-23_144
,,2024-08-23,2024-08-23T10:20:57.100000,,AM,True,False,,Detection,,,,0.6951689124107361,,2024-08-23T10:20:57.100000,R50D6,,,,,,,2024-08-23_145
,,2024-08-23,2024-08-23T10:21:21.010000,,AM,True,False,,Detection,,,,0.6466006636619568,,2024-08-23T10:21:21.010000,R50D6,,,,,,,2024-08-23_146
,,2024-08-23,2024-08-23T10:23:24.070000,,AM,True,False,,Detection,,,,0.6767135858535767,,2024-08-23T10:23:24.070000,R50D6,,,,,,,2024-08-23_147
,,2024-08-23,2024-08-23T10:24:06.390000,,AM,True,False,,Detection,,,,0.525587797164917,,2024-08-23T10:24:06.390000,R50D6,,,,,,,2024-08-23_148
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T10:24:06.870000,R50D6,,,,,,,2024-08-23_149
,,2024-08-23,2024-08-23T10:26:09.980000,,AM,True,False,,Detection,,,,0.8789507150650024,,2024-08-23T10:26:09.980000,R50D6,,,,,,,2024-08-23_150
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T10:26:10.460000,R50D6,,,,,,,2024-08-23_151
,,2024-08-23,2024-08-23T10:30:23.980000,,AM,True,False,,Detection,,,,0.7804499268531799,,2024-08-23T10:30:23.980000,R50D6,,,,,,,2024-08-23_152
,,2024-08-23,2024-08-23T10:35:54.060000,,AM,True,False,,Detection,,,,0.6739010214805603,,2024-08-23T10:35:54.060000,R50D6,,,,,,,2024-08-23_153
,,2024-08-23,2024-08-23T10:36:50.030000,,AM,True,False,,Detection,,,,0.6165764927864075,,2024-08-23T10:36:50.030000,R50D6,,,,,,,2024-08-23_154
,,2024-08-23,2024-08-23T10:41:50.830000,,AM,True,False,,Detection,,,,0.754635751247406,,2024-08-23T10:41:50.830000,R50D6,,,,,,,2024-08-23_155
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T10:41:51.240000,R50D6,,,,,,,2024-08-23_156
,,2024-08-23,2024-08-23T10:44:11,,AM,True,False,,Detection,,,,0.5766634345054626,,2024-08-23T10:44:11,R50D6,,,,,,,2024-08-23_157
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T10:44:11.430000,R50D6,,,,,,,2024-08-23_158
,,2024-08-23,2024-08-23T10:47:07.020000,,AM,True,False,,Detection,,,,0.8398263454437256,,2024-08-23T10:47:07.020000,R50D6,,,,,,,2024-08-23_159
,,2024-08-23,2024-08-23T10:47:54.020000,,AM,True,False,,Detection,,,,0.5856335163116455,,2024-08-23T10:47:54.020000,R50D6,,,,,,,2024-08-23_160
,,2024-08-23,2024-08-23T10:50:35.990000,,AM,True,False,,Detection,,,,0.7469484806060791,,2024-08-23T10:50:35.990000,R50D6,,,,,,,2024-08-23_161
